filename,label
invoice_9982.pdf,legit
update_patch.exe,suspicious
setup.msi,suspicious
meeting_notes.docx,legit
vacation_photo.jpg,legit
system_driver.bat,phishing
bank_statement.pdf,legit
password_reset.html,phishing
presentation_v2.pptx,legit
contract_scanned.exe,phishing
readme.txt,legit
script_installer.js,phishing
image_gallery.zip,suspicious
backup_2023.rar,suspicious
login_page_dummy.html,phishing
resume_john_doe.pdf,legit
office_install.cmd,phishing
report_summary.xlsx,legit
music_playlist.mp3,legit
browser_update.exe,phishing
